"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Heraldic Banner","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","267","False","False",""
"13","13","Island","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","337","False","False",""
"1","1","Josu Vess, Lich Knight","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","82","False","False",""
"1","1","Jwar Isle Refuge","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","306","False","False",""
"1","1","Laboratory Drudge","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","56","False","False",""
"1","1","Lazotep Plating","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","57","False","False",""
"1","1","Lazotep Reaver","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","83","False","False",""
"1","1","Liliana, Untouched by Death","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","84","False","False",""
"1","1","Liliana's Devotee","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","85","False","False",""
"1","1","Liliana's Mastery","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","86","False","False",""
"1","1","Liliana's Standard Bearer","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","87","False","False",""
"1","1","Lord of the Accursed","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","88","False","False",""
"1","1","Lotleth Giant","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","89","False","False",""
"1","1","Loyal Subordinate","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","90","False","False",""
"1","1","Midnight Reaper","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","91","False","False",""
"1","1","Mire Triton","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","92","False","False",""
"1","1","Murder","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","93","False","False",""
"1","1","Nantuko Husk","ori","Near Mint","English","","","2023-06-28 16:50:16.037000","109","False","False",""
"1","1","Necromantic Selection","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","94","False","False",""
"1","1","Necrotic Hex","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","95","False","False",""
"1","1","Open the Graves","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","97","False","False",""
"1","1","Overcharged Amalgam","clb","Near Mint","English","","","2023-06-28 16:50:16.037000","729","False","False",""
"1","1","Overseer of the Damned","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","98","False","False",""
"1","1","Pilfered Plans","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","238","False","False",""
"1","1","Ravenous Rotbelly","mic","Near Mint","English","","","2023-06-28 16:50:16.037000","22","False","False",""
"1","1","Repository Skaab","vow","Near Mint","English","","","2023-06-28 16:50:16.037000","73","False","False",""
"1","1","Salt Marsh","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","316","False","False",""
"1","1","Scourge of Nel Toth","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","104","False","False",""
"1","1","Secrets of the Dead","dka","Near Mint","English","","","2023-06-28 16:50:16.037000","48","False","False",""
"1","1","Sinister Sabotage","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","60","False","False",""
"1","1","Sol Ring","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","276","False","False",""
"1","1","Spark Reaper","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","109","False","False",""
"1","1","Submerged Boneyard","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","321","False","False",""
"1","1","Sunken Hollow","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","322","False","False",""
"18","18","Swamp","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","341","False","False",""
"1","1","Syphon Flesh","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","110","False","False",""
"1","1","Talisman of Dominance","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","280","False","False",""
"1","1","Temple of Deceit","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","324","False","False",""
"1","1","Tomb Tyrant","mic","Near Mint","English","","","2023-06-28 16:50:16.037000","23","False","False",""
"1","1","Unbreathing Horde","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","113","False","False",""
"1","1","Undead Augur","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","114","False","False",""
"1","1","Undead Butler","vow","Near Mint","English","","","2023-06-28 16:50:16.037000","133","False","False",""
"1","1","Undermine","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","254","False","False",""
"1","1","Unstable Obelisk","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","286","False","False",""
"1","1","Vampiric Rites","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","116","False","False",""
"1","1","Vela the Night-Clad","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","256","False","False",""
"1","1","Vengeful Dead","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","117","False","False",""
"1","1","Victimize","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","118","False","False",""
"1","1","Vizier of the Scorpion","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","119","False","False",""
"1","1","Wayfarer's Bauble","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","287","False","False",""
"1","1","Wilhelt, the Rotcleaver","mic","Near Mint","English","","","2023-06-28 16:50:16.037000","2","False","False",""
"1","1","Withered Wretch","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","120","False","False",""
"1","1","Zombie Apocalypse","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","121","False","False",""
